option_type	strike	entry_time	entry_price	entry_spot	entry_fut	exit_time	exit_price	exit_reason	pnl_points	pnl_rupees	hold_minutes	is_winner	peak_price	expiry	capital_after
CE	26100	11/24/2025 10:00	90.25	26106.75	26135	11/24/2025 10:09	101.55	TARGET	11.3	847.5	9	TRUE	101.55	11/25/2025	10847.5
PE	26100	11/24/2025 10:57	57.35	26108.4	26130	11/24/2025 11:12	62	TRAILING_STOP	4.65	348.75	15	TRUE	66	11/25/2025	11196.25
CE	26100	11/24/2025 11:24	85.35	26109.6	26136.9	11/24/2025 11:30	97.05	TARGET	11.7	877.5	6	TRUE	97.05	11/25/2025	12073.75
PE	25950	11/25/2025 9:48	45	25955.3	25955	11/25/2025 9:54	35	STOP_LOSS	-10	-750	6	FALSE	45	11/25/2025	11323.75
PE	25950	11/25/2025 10:54	33.8	25953.25	25951.1	11/25/2025 10:57	51.5	TARGET	17.7	1327.5	3	TRUE	51.5	11/25/2025	12651.25
CE	25950	11/25/2025 11:48	48.85	25969.55	25973.6	11/25/2025 11:57	70.1	TARGET	21.25	1593.75	9	TRUE	70.1	11/25/2025	14245
PE	26250	11/27/2025 9:39	105.95	26242.5	26420.2	11/27/2025 9:48	108.45	TRAILING_STOP	2.5	187.5	9	TRUE	112.6	12/2/2025	14432.5
CE	26300	11/27/2025 9:51	114.55	26264.7	26444	11/27/2025 10:00	131.6	TARGET	17.05	1278.75	9	TRUE	131.6	12/2/2025	15711.25
PE	26250	11/27/2025 11:30	94.7	26269.55	26441	11/27/2025 11:36	95.05	TRAILING_STOP	0.35	26.25	6	TRUE	99.4	12/2/2025	15737.5
PE	26200	11/28/2025 9:21	78.55	26219.35	26402.3	11/28/2025 9:27	76.5	TRAILING_STOP	-2.05	-153.75	6	FALSE	84.6	12/2/2025	15583.75
PE	26200	11/28/2025 9:36	75.25	26206.25	26390.1	11/28/2025 9:42	71.5	TRAILING_STOP	-3.75	-281.25	6	FALSE	82.4	12/2/2025	15302.5
PE	26250	11/28/2025 10:15	92.6	26234	26415	11/28/2025 10:27	90.45	TRAILING_STOP	-2.15	-161.25	12	FALSE	98.2	12/2/2025	15141.25
PE	26250	11/28/2025 11:21	83.4	26243.65	26413.6	11/28/2025 11:39	86.4	TRAILING_STOP	3	225	18	TRUE	92.2	12/2/2025	15366.25
CE	26250	11/28/2025 11:42	102.95	26247.95	26423.3	11/28/2025 11:51	103.1	TRAILING_STOP	0.15	11.25	9	TRUE	107.3	12/2/2025	15377.5
PE	26250	11/28/2025 11:57	83.65	26247.1	26416	11/28/2025 12:24	96.1	TARGET	12.45	933.75	27	TRUE	96.1	12/2/2025	16311.25
PE	26150	12/2/2025 9:27	44.65	26130.2	26294	12/2/2025 9:30	63.85	TARGET	19.2	1440	3	TRUE	63.85	12/2/2025	17751.25
PE	26100	12/2/2025 9:33	36.2	26116.05	26285	12/2/2025 9:42	53.8	TARGET	17.6	1320	9	TRUE	53.8	12/2/2025	19071.25
CE	26100	12/3/2025 9:21	113.2	26024.1	26175	12/3/2025 9:24	107.15	STOP_LOSS	-6.05	-453.75	3	FALSE	113.2	12/9/2025	18617.5
CE	26000	12/3/2025 12:09	121.95	25956.25	26106.6	12/3/2025 12:15	124.3	TRAILING_STOP	2.35	176.25	6	TRUE	127.55	12/9/2025	18793.75
PE	25950	12/3/2025 12:33	112.65	25931.1	26083	12/3/2025 12:54	117.55	TRAILING_STOP	4.9	367.5	21	TRUE	121.95	12/9/2025	19161.25
CE	26000	12/3/2025 13:27	115.3	25939.65	26097.3	12/3/2025 13:39	116.5	TRAILING_STOP	1.2	90	12	TRUE	120.5	12/9/2025	19251.25
CE	26000	12/3/2025 14:12	118.15	25948.35	26102.4	12/3/2025 14:21	113.85	STOP_LOSS	-4.3	-322.5	9	FALSE	118.15	12/9/2025	18928.75
PE	25900	12/3/2025 14:27	84.6	25921.45	26086.4	12/3/2025 14:42	87.45	TRAILING_STOP	2.85	213.75	15	TRUE	91.3	12/9/2025	19142.5
CE	26000	12/3/2025 14:51	117.5	25964.2	26108	12/3/2025 15:00	134.2	TARGET	16.7	1252.5	9	TRUE	134.2	12/9/2025	20395
CE	26000	12/4/2025 9:21	106	25985.45	26116.2	12/4/2025 9:24	127.05	TARGET	21.05	1578.75	3	TRUE	127.05	12/9/2025	21973.75
PE	26050	12/4/2025 11:39	102.85	26033.45	26173.3	12/4/2025 11:45	115.6	TARGET	12.75	956.25	6	TRUE	115.6	12/9/2025	22930
PE	26050	12/5/2025 9:21	91.75	26040.55	26180	12/5/2025 9:33	91.45	TRAILING_STOP	-0.3	-22.5	12	FALSE	97.6	12/9/2025	22907.5
